,Alive,Currently Infected,Dead,Time Step,Total Infected So Far
0,1976.0,21.0,24.0,0.0,71.0
1,1963.0,5.0,37.0,1.0,76.0
2,1961.0,0.0,39.0,2.0,76.0
3,1961.0,0.0,39.0,3.0,76.0
4,1961.0,0.0,39.0,4.0,76.0
5,1961.0,0.0,39.0,5.0,76.0
6,1961.0,0.0,39.0,6.0,76.0
7,1961.0,0.0,39.0,7.0,76.0
8,1961.0,0.0,39.0,8.0,76.0
9,1961.0,0.0,39.0,9.0,76.0
10,1961.0,0.0,39.0,10.0,76.0
11,1961.0,0.0,39.0,11.0,76.0
12,1961.0,0.0,39.0,12.0,76.0
13,1961.0,0.0,39.0,13.0,76.0
14,1961.0,0.0,39.0,14.0,76.0
15,1961.0,0.0,39.0,15.0,76.0
16,1961.0,0.0,39.0,16.0,76.0
17,1961.0,0.0,39.0,17.0,76.0
18,1961.0,0.0,39.0,18.0,76.0
19,1961.0,0.0,39.0,19.0,76.0
20,1961.0,0.0,39.0,20.0,76.0
